Classifier,feature selection,underSampling,overSampling,cost sensitive,precision,recall,auc,kappa
rf,false,false,false,false,0.35294117647058826,0.5357142857142857,0.7816207878500238,0.2915451895043732
rf,false,false,false,false,0.38461538461538464,0.10416666666666667,0.6709409827760892,0.11595935445307826
nb,false,false,false,false,0.6153846153846154,0.14285714285714285,0.7814131466540104,0.18363032316520655
nb,false,false,false,false,0.6,0.0625,0.6190792806484295,0.09137992923439786
ibk,false,false,false,false,0.4533333333333333,0.6071428571428571,0.7354651162790697,0.41379310344827563
ibk,false,false,false,false,0.24324324324324326,0.1875,0.5511968085106383,0.11350156178710581
rf,false,false,false,true,0.1830065359477124,1.0,0.584717607973422,0.060150375939849635
rf,false,false,false,true,0.15730337078651685,0.875,0.5955547112462006,0.06481749943622951
ibk,false,false,false,true,0.4533333333333333,0.6071428571428571,0.7354651162790697,0.41379310344827563
ibk,false,false,false,true,0.24324324324324326,0.1875,0.5511968085106383,0.11350156178710581
nb,false,false,false,true,0.3402061855670103,0.5892857142857143,0.6883305647840532,0.2901935690289552
nb,false,false,false,true,0.13013698630136986,0.3958333333333333,0.5049075481256332,0.005243395013700435
rf,false,true,false,false,0.2420091324200913,0.9464285714285714,0.8221701471286189,0.18078129455374972
rf,false,true,false,false,0.22602739726027396,0.6875,0.7203330800405269,0.1837894523189337
ibk,false,true,false,false,0.44871794871794873,0.625,0.7410714285714286,0.41568206229860355
ibk,false,true,false,false,0.22137404580152673,0.6041666666666666,0.646466565349544,0.16919518458484337
nb,false,true,false,false,0.4473684210526316,0.30357142857142855,0.776578073089701,0.2689918776875301
nb,false,true,false,false,0.25925925925925924,0.14583333333333334,0.6456117021276596,0.10458279795973979
rf,false,false,true,false,0.2893081761006289,0.8214285714285714,0.8152289985761747,0.25507659422871404
rf,false,false,true,false,0.3333333333333333,0.3541666666666667,0.6997213779128673,0.24430258735004762
ibk,false,false,true,false,0.4430379746835443,0.625,0.7319648789748457,0.41024728695961565
ibk,false,false,true,false,0.1794871794871795,0.2916666666666667,0.6032168186423505,0.07667316439246252
nb,false,false,true,false,0.3291139240506329,0.4642857142857143,0.7751839107736118,0.2469311510407402
nb,false,false,true,false,0.23076923076923078,0.0625,0.6568832320162108,0.04662283323371204
rf,true,false,false,false,0.24074074074074073,0.9285714285714286,0.8228820598006644,0.17741935483870963
rf,true,false,false,false,0.2535211267605634,0.375,0.712734295845998,0.17756984781980187
ibk,true,false,false,false,0.17721518987341772,1.0,0.5681063122923588,0.04713998275366483
ibk,true,false,false,false,0.125,0.08333333333333333,0.5005065856129686,-0.002067336089781351
nb,true,false,false,false,0.2727272727272727,0.05357142857142857,0.698890602752729,0.04011107682813976
nb,true,false,false,false,NaN,0.0,0.4756838905775076,0.0
rf,true,true,false,false,0.21653543307086615,0.9821428571428571,0.835874466065496,0.13161927464668824
rf,true,true,false,false,0.18502202643171806,0.875,0.7055471124620061,0.120611115860435
ibk,true,true,false,false,0.17391304347826086,1.0,0.5581395348837209,0.039643211100099086
ibk,true,true,false,false,0.16370106761565836,0.9583333333333334,0.6234802431610942,0.07941724965741784
nb,true,true,false,false,0.5,0.48214285714285715,0.7372152349311818,0.3982300884955753
nb,true,true,false,false,0.25,0.16666666666666666,0.5589855623100304,0.10927347903130573
rf,true,false,false,true,0.1712538226299694,1.0,0.5498338870431894,0.03356408642752254
rf,true,false,false,true,0.15602836879432624,0.9166666666666666,0.5966312056737588,0.06270932215578705
ibk,true,false,false,true,0.17721518987341772,1.0,0.5681063122923588,0.04713998275366483
ibk,true,false,false,true,0.125,0.08333333333333333,0.499113475177305,-0.002067336089781351
nb,true,false,false,true,0.17894736842105263,0.9107142857142857,0.5666528239202658,0.05003507131166703
nb,true,false,false,true,0.05755395683453238,0.16666666666666666,0.3842451874366768,-0.12793281427696607
