Classifier,feature selection,underSampling,overSampling,cost sensitive,precision,recall,auc,kappa
rf,false,false,false,false,0.52,0.14285714285714285,0.7505252988769472,0.19249592169657503
rf,false,false,false,false,0.5161290322580645,0.16161616161616163,0.7816993464052288,0.21008403361344502
rf,false,false,false,false,0.5,0.014285714285714285,0.6971830985915493,0.02061177213857
rf,false,false,false,false,NaN,0.0,0.6283787388073919,0.0
rf,false,false,false,false,1.0,0.03278688524590164,0.7666130760986066,0.0565651666489835
rf,false,false,false,false,0.5416666666666666,0.08904109589041095,0.7477043504440765,0.11853088480801369
rf,false,false,false,false,0.9,0.06206896551724138,0.7728397565922921,0.10170254678485985
rf,false,false,false,false,0.8,0.13872832369942195,0.7556213588925356,0.20220144948204988
rf,false,false,false,false,0.8,0.06779661016949153,0.7394711015622928,0.10507218405002698
rf,false,false,false,false,0.7142857142857143,0.09740259740259741,0.8161693442641643,0.14704718230083613
rf,false,false,false,false,0.6545454545454545,0.225,0.8276971403812825,0.2906949530029068
rf,false,false,false,false,0.7619047619047619,0.0851063829787234,0.7818909980692398,0.12778158651278584
rf,false,false,false,false,0.6,0.037037037037037035,0.7654834940111014,0.05612198699722891
rf,false,false,false,false,0.4583333333333333,0.07534246575342465,0.7642511848901391,0.10101376825760362
rf,false,false,false,false,0.75,0.21649484536082475,0.7720406061224679,0.2886228252802753
nb,false,false,false,false,1.0,0.054945054945054944,0.5730889989131748,0.09560229445506728
nb,false,false,false,false,0.47058823529411764,0.32323232323232326,0.6970021066277751,0.3310764128782649
nb,false,false,false,false,0.6,0.17142857142857143,0.6916073363256462,0.22107249916731425
nb,false,false,false,false,0.6571428571428571,0.15862068965517243,0.6953553057725281,0.2133072407045011
nb,false,false,false,false,0.6388888888888888,0.1885245901639344,0.7754379491504577,0.25170671158790703
nb,false,false,false,false,0.6333333333333333,0.2602739726027397,0.748972602739726,0.3136549076073919
nb,false,false,false,false,0.6875,0.30344827586206896,0.761896551724138,0.37327998221629394
nb,false,false,false,false,0.671875,0.24855491329479767,0.7197440294354793,0.3086309169123838
nb,false,false,false,false,0.6292134831460674,0.3163841807909605,0.6961910824646561,0.36002087892232626
nb,false,false,false,false,0.6043956043956044,0.35714285714285715,0.7885277584575214,0.39549517414296453
nb,false,false,false,false,0.7142857142857143,0.375,0.8087494584055459,0.44529781844921956
nb,false,false,false,false,0.782608695652174,0.2872340425531915,0.6892216742176598,0.37146294092661464
nb,false,false,false,false,0.7619047619047619,0.2962962962962963,0.7210103764295993,0.38376172721373497
nb,false,false,false,false,0.7014925373134329,0.3219178082191781,0.7871925490798634,0.39901548368620904
nb,false,false,false,false,0.7808219178082192,0.29381443298969073,0.7598824315421233,0.37626323369081355
ibk,false,false,false,false,0.4126984126984127,0.2857142857142857,0.6400193213380027,0.2844387755102042
ibk,false,false,false,false,0.2871287128712871,0.29292929292929293,0.6548533462971966,0.21399128488988342
ibk,false,false,false,false,0.18181818181818182,0.014285714285714285,0.5616081101996595,0.007444436681000798
ibk,false,false,false,false,0.3333333333333333,0.020689655172413793,0.5675938273956944,0.023194418253818416
ibk,false,false,false,false,0.6,0.07377049180327869,0.6021251735104458,0.1088198757763971
ibk,false,false,false,false,0.4090909090909091,0.1232876712328767,0.6187151889206683,0.1340206185567009
ibk,false,false,false,false,0.6333333333333333,0.1310344827586207,0.6374543610547667,0.182246701677981
ibk,false,false,false,false,0.5263157894736842,0.17341040462427745,0.6378936370759849,0.20352624622356524
ibk,false,false,false,false,0.23636363636363636,0.07344632768361582,0.5881329407708018,0.04772326313673838
ibk,false,false,false,false,0.4358974358974359,0.11038961038961038,0.6226525888510085,0.13450536127003349
ibk,false,false,false,false,0.43902439024390244,0.3375,0.6909255849220104,0.3084252124799253
ibk,false,false,false,false,0.4827586206896552,0.07446808510638298,0.5993290130182944,0.09404118446795116
ibk,false,false,false,false,0.3125,0.030864197530864196,0.5766898215773472,0.03460198456449857
ibk,false,false,false,false,0.38461538461538464,0.17123287671232876,0.617194794756935,0.18047781569965898
ibk,false,false,false,false,0.4943820224719101,0.2268041237113402,0.6362058886301001,0.23988075858093147
rf,false,false,false,true,0.2562814070351759,0.5604395604395604,0.6989010989010989,0.2593123209169057
rf,false,false,false,true,0.2080745341614907,0.6767676767676768,0.702020202020202,0.20131446503641426
rf,false,false,false,true,0.3492063492063492,0.15714285714285714,0.5563612443894134,0.14702067635970942
rf,false,false,false,true,0.3894736842105263,0.25517241379310346,0.5955420080015241,0.22343506348852746
rf,false,false,false,true,0.45454545454545453,0.32786885245901637,0.6382109535606979,0.3145173382380867
rf,false,false,false,true,0.40397350993377484,0.4178082191780822,0.6594535601384917,0.31438747495733455
rf,false,false,false,true,0.43790849673202614,0.46206896551724136,0.6888776200135226,0.3690224570673711
rf,false,false,false,true,0.43859649122807015,0.43352601156069365,0.6696117287665944,0.34085890830666027
rf,false,false,false,true,0.44805194805194803,0.3898305084745763,0.6550091509509032,0.3277750668842858
rf,false,false,false,true,0.4508670520231214,0.5064935064935064,0.7115435047831887,0.40165941866223603
rf,false,false,false,true,0.31197771587743733,0.7,0.7429809358752166,0.3164528836895993
rf,false,false,false,true,0.483695652173913,0.4734042553191489,0.6940246793217487,0.39151084409385045
rf,false,false,false,true,0.4251968503937008,0.3333333333333333,0.6346771837569384,0.2968704813978932
rf,false,false,false,true,0.36065573770491804,0.4520547945205479,0.675552850236978,0.31609777898374325
rf,false,false,false,true,0.4627659574468085,0.4484536082474227,0.6787722586691659,0.3621670904160576
ibk,false,false,false,true,0.325,0.2857142857142857,0.6131868131868132,0.23939570017431733
ibk,false,false,false,true,0.2871287128712871,0.29292929292929293,0.607961972667855,0.21399128488988342
ibk,false,false,false,true,0.18181818181818182,0.014285714285714285,0.5022674508590002,0.007444436681000798
ibk,false,false,false,true,0.3333333333333333,0.020689655172413793,0.507029910459135,0.023194418253818416
ibk,false,false,false,true,0.6,0.07377049180327869,0.5336698118180381,0.1088198757763971
ibk,false,false,false,true,0.375,0.1232876712328767,0.5451603191329218,0.1257545271629779
ibk,false,false,false,true,0.6333333333333333,0.1310344827586207,0.5601250845165653,0.182246701677981
ibk,false,false,false,true,0.5263157894736842,0.17341040462427745,0.5734439056520209,0.20352624622356524
ibk,false,false,false,true,0.23636363636363636,0.07344632768361582,0.517004853982653,0.04772326313673838
ibk,false,false,false,true,0.4358974358974359,0.11038961038961038,0.5455372108137692,0.13450536127003349
ibk,false,false,false,true,0.43902439024390244,0.3375,0.638853986135182,0.3084252124799253
ibk,false,false,false,true,0.4827586206896552,0.07446808510638298,0.5304954980787979,0.09404118446795116
ibk,false,false,false,true,0.3125,0.030864197530864196,0.5106117657242402,0.03460198456449857
ibk,false,false,false,true,0.38461538461538464,0.17123287671232876,0.5683601829635846,0.18047781569965898
ibk,false,false,false,true,0.4888888888888889,0.2268041237113402,0.5926999916486494,0.2380697050938337
nb,false,false,false,true,1.0,0.054945054945054944,0.5274725274725275,0.09560229445506728
nb,false,false,false,true,0.43956043956043955,0.40404040404040403,0.6747474747474748,0.36259400813709736
nb,false,false,false,true,0.5660377358490566,0.21428571428571427,0.594683485528556,0.2571472107356594
nb,false,false,false,true,0.6097560975609756,0.1724137931034483,0.5773671175461993,0.22141649855514997
nb,false,false,false,true,0.6346153846153846,0.27049180327868855,0.6250636937079402,0.33322409615992354
nb,false,false,false,true,0.6081081081081081,0.3082191780821918,0.63817552310703,0.34849462773833495
nb,false,false,false,true,0.620253164556962,0.33793103448275863,0.6542596348884381,0.3833648393194705
nb,false,false,false,true,0.6753246753246753,0.30057803468208094,0.6380100389520424,0.3586098528999511
nb,false,false,false,true,0.5431034482758621,0.3559322033898305,0.653083472586934,0.3575371234226028
nb,false,false,false,true,0.5922330097087378,0.3961038961038961,0.6796147224154248,0.41926694324582375
