@relation openjpa_Train_Release_6

@attribute CyclomaticComplexity numeric
@attribute LineOfCode numeric
@attribute LineOfCodeNoComment numeric
@attribute NR numeric
@attribute Authors numeric
@attribute Age numeric
@attribute Churn numeric
@attribute MeanChurn numeric
@attribute MaxChurn numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute Buggy {false,true}

@data
3,62,30,1,1,37,62,62,62,0,0,false
8,100,62,1,1,37,100,100,100,0,0,false
4,211,105,3,2,37,212,70,211,3,2,false
5,257,121,2,2,37,257,128,257,2,2,false
2,147,66,3,2,37,148,49,147,3,2,false
1,50,22,2,1,37,50,25,49,0,0,false
1,603,92,2,2,37,615,307,609,15,15,false
41,873,695,6,3,37,933,155,900,54,34,false
2,52,27,2,2,37,52,26,50,5,5,false
1,58,28,1,1,37,58,58,58,0,0,false
14,158,102,1,1,37,158,158,158,0,0,false
5,61,32,2,1,37,69,34,65,4,4,false
1,135,63,1,1,37,135,135,135,0,0,false
16,189,118,1,1,37,189,189,189,0,0,false
51,376,269,2,1,37,392,196,384,44,44,false
23,259,163,3,2,37,265,88,262,17,15,false
1,32,9,1,1,37,32,32,32,0,0,false
22,243,183,3,2,37,243,81,233,1,1,false
1,42,6,1,1,37,42,42,42,0,0,false
5,126,75,3,2,37,128,42,127,4,3,false
2,58,23,2,2,37,58,29,58,3,3,false
9,168,108,2,2,37,168,84,168,1,1,false
1,172,32,3,2,37,172,57,164,2,2,false
33,322,252,6,3,37,332,55,285,106,52,false
1,46,9,1,1,37,46,46,46,0,0,false
1,38,8,1,1,37,38,38,38,0,0,false
1,96,24,3,2,37,116,38,106,11,10,false
152,1383,1075,9,3,37,1559,173,1458,337,122,false
68,628,489,5,2,37,644,128,636,98,52,false
1,43,7,1,1,37,43,43,43,0,0,false
38,455,353,2,2,37,459,229,457,11,11,false
22,360,221,2,2,37,378,189,369,13,13,false
28,217,161,1,1,37,217,217,217,0,0,false
60,441,314,3,3,37,449,149,445,15,14,false
22,177,128,1,1,37,177,177,177,0,0,false
1,44,8,1,1,37,44,44,44,0,0,false
11,127,87,3,1,37,131,43,129,13,12,false
2,70,28,2,2,37,70,35,70,5,5,false
8,128,85,2,1,37,130,65,129,1,1,false
26,257,195,3,2,37,269,89,263,9,8,false
13,156,105,2,2,37,176,88,166,12,12,false
49,625,416,3,1,37,625,208,625,3,2,false
1,40,6,1,1,37,40,40,40,0,0,false
14,200,122,1,1,37,200,200,200,0,0,false
2,45,18,2,2,37,62,31,54,10,10,false
1,74,43,4,2,37,75,18,61,11,8,false
13,193,144,5,2,37,193,38,192,31,20,false
1,33,10,1,1,37,34,34,34,0,0,false
5,91,57,3,2,37,91,30,91,13,7,false
1,33,10,1,1,37,34,34,34,0,0,false
10,180,126,3,2,37,180,60,178,23,15,false
1,40,13,2,2,37,41,20,41,1,1,false
